player_name,standardized_club
Tomas Pekhart,Tottenham Hotspur
Giovani dos Santos,Tottenham Hotspur
David Button,Tottenham Hotspur
Jonathan Obika,Tottenham Hotspur
Alan Hutton,Tottenham Hotspur
Kyle Naughton,Tottenham Hotspur
Jake Livermore,Tottenham Hotspur
John Bostock,Tottenham Hotspur
Adam Smith,Tottenham Hotspur
Benni McCarthy,West Ham United
Ilan,West Ham United
Mido,West Ham United
Freddie Sears,West Ham United
Frank Nouble,West Ham United
Nigel Quashie,West Ham United
Freddie Sears,West Ham United
Marek Stech,West Ham United
Nigel Quashie,West Ham United
Nigel Quashie,West Ham United
Marek Stech,West Ham United
Frank Nouble,West Ham United
Frank Nouble,West Ham United
Freddie Sears,West Ham United
Dean Ashton,West Ham United
Calum Davenport,West Ham United
Luis Jiménez,West Ham United
Adam Johnson,Manchester City
Patrick Vieira,Manchester City
Márton Fülöp,Manchester City
David González,Manchester City
Felipe Caicedo,Manchester City
Jô,Manchester City
Donal McDermott,Manchester City
Javan Vidal,Manchester City
Felipe Caicedo,Manchester City
Jô,Manchester City
Vladimir Weiss,Manchester City
Donal McDermott,Manchester City
Robinho,Manchester City
Javan Vidal,Manchester City
Benjani,Manchester City
John Guidetti,Manchester City
Asmir Begovic,Manchester City
Louis Moult,Manchester City
Danzelle St Louis-Hamilton,Manchester City
Ben Marshall,Manchester City
Dave Kitson,Manchester City
Michael Tonge,Manchester City
Andrew Davies,Manchester City
Richard Cresswell,Manchester City
Leon Cort,Manchester City
Richard Cresswell,Manchester City
Michael Tonge,Manchester City
Diego Arismendi,Manchester City
Andy Griffin,Manchester City
Steve Simonsen,Manchester City
Tom Soares,Manchester City
Michael Tonge,Manchester City
Dave Kitson,Manchester City
Ben Marshall,Manchester City
Ben Marshall,Manchester City
Danzelle St Louis-Hamilton,Manchester City
Quincy Owusu-Abeyie,FC Köln
Dusko Tosic,FC Köln
Ricardo Rocha,FC Köln
Luke Wilkinson,FC Köln
Callum Reynolds,FC Köln
Luke Wilkinson,FC Köln
Matt Ritchie,FC Köln
Asmir Begovic,FC Köln
Younès Kaboul,FC Köln
Asmir Begovic,FC Köln
Mike Williamson,FC Köln
Dusko Tosic,FC Köln
Matt Ritchie,FC Köln
Paris Cowan-Hall,FC Köln
Luke Wilkinson,FC Köln
Marlon Pack,FC Köln
Luke Wilkinson,FC Köln
Antti Niemi,FC Köln
Linvoy Primus,FC Köln
Quincy Owusu-Abeyie,FC Köln
Amr Zaki,Manchester City
Mark Oxley,Manchester City
Caleb Folan,Manchester City
Nathan Doyle,Manchester City
Jamie Devitt,Manchester City
Bryan Hughes,Manchester City
Daniel Cousin,Manchester City
Tony Warner,Manchester City
Nathan Doyle,Manchester City
Will Atkinson,Manchester City
Ryan Kendall,Manchester City
Jamie Devitt,Manchester City
Mark Oxley,Manchester City
Nicky Featherstone,Manchester City
Péter Halmosi,Manchester City
Bryan Hughes,Manchester City
Amr Zaki,Manchester City
Aaron McCarey,Wolverhampton
Geoffrey Bia,Wolverhampton
Adlène Guédioura,Wolverhampton
Chris Iwelumo,Wolverhampton
Stefan Maierhofer,Wolverhampton
Dan Jones,Wolverhampton
Mark Little,Wolverhampton
David Davis,Wolverhampton
Carl Ikeme,Wolverhampton
Sam Vokes,Wolverhampton
Darren Ward,Wolverhampton
George Friend,Wolverhampton
Carl Ikeme,Wolverhampton
Darren Ward,Wolverhampton
Mark Little,Wolverhampton
Scott Malone,Wolverhampton
Carl Ikeme,Wolverhampton
Stefan Maierhofer,Wolverhampton
George Friend,Wolverhampton
Carl Ikeme,Wolverhampton
Dan Jones,Wolverhampton
Matt Hill,Wolverhampton
Chris Iwelumo,Wolverhampton
Danny Fox,FC Köln
Leon Cort,FC Köln
Kevin Long,FC Köln
Nicky Weaver,FC Köln
Jack Cork,FC Köln
Frédéric Nimani,FC Köln
Alex MacDonald,FC Köln
Jonathan Lund,FC Köln
Chris Lynch,FC Köln
Jay Rodríguez,FC Köln
Wes Fletcher,FC Köln
Adam Kay,FC Köln
Jay Rodríguez,FC Köln
David Edgar,FC Köln
Jonathan Lund,FC Köln
Richard Eckersley,FC Köln
Jonathan Lund,FC Köln
Brian Easton,FC Köln
Remco van der Schaaf,FC Köln
Wes Fletcher,FC Köln
Christian Kalvenes,FC Köln
Fernando Guerrero,FC Köln
Stephen Ireland,Aston Villa
Barry Bannan,Aston Villa
Arsenio Halfhuid,Aston Villa
Ciaran Clark,Aston Villa
Shane Lowry,Aston Villa
John Carew,Aston Villa
Brad Guzan,Aston Villa
Jonathan Hogg,Aston Villa
Stephen Ireland,Aston Villa
Eric Lichaj,Aston Villa
Nathan Delfouneso,Aston Villa
Chris Herd,Aston Villa
James Milner,Aston Villa
Nicky Shorey,Aston Villa
Marlon Harewood,Aston Villa
Stephen O'Halloran,Aston Villa
David Bevan,Aston Villa
Wilfred Bouma,Aston Villa
Curtis Davies,Aston Villa
Kyle Walker,Aston Villa
DJ Campbell,FC Köln
Elliot Grandin,FC Köln
Chris Basham,FC Köln
Craig Cathcart,FC Köln
Matt Phillips,FC Köln
Marlon Harewood,FC Köln
David Carney,FC Köln
Dekel Keinan,FC Köln
Malaury Martin,FC Köln
Luke Varney,FC Köln
Ludovic Sylvestre,FC Köln
Richard Kingson,FC Köln
Danny Coid,FC Köln
Ashley Eastham,FC Köln
Rob Edwards,FC Köln
Louis Almond,FC Köln
Marlon Harewood,FC Köln
Ben Burgess,FC Köln
Al Bangura,FC Köln
Daniel Nardiello,FC Köln
Hameur Bouazza,FC Köln
Stephen McPhee,FC Köln
Joe Martin,FC Köln
Danny Mitchley,FC Köln
Luke Varney,FC Köln
Stephen Dobbie,FC Köln
James Beattie,FC Köln
Jason Puncheon,FC Köln
Bebé,Manchester United
Chris Smalling,Manchester United
Chicharito,Manchester United
Conor Devlin,Manchester United
Reece Brown,Manchester United
Joe Dudgeon,Manchester United
Tom Cleverley,Manchester United
Ritchie De Laet,Manchester United
Danny Welbeck,Manchester United
Mame Diouf,Manchester United
Reece Brown,Manchester United
Conor Devlin,Manchester United
Ben Amos,Manchester United
Danny Drinkwater,Manchester United
Zoran Tosic,Manchester United
Zoran Tosic,Manchester United
Ben Foster,Manchester United
Rodrigo Possebon,Manchester United
Tom Heaton,Manchester United
David Gray,Manchester United
Sam Hewson,Manchester United
Tom Cleverley,Manchester United
Ritchie De Laet,Manchester United
Reece Brown,Manchester United
Danny Welbeck,Manchester United
Danny Drinkwater,Manchester United
Conor Devlin,Manchester United
Mame Diouf,Manchester United
James Chester,Manchester United
Scott Moffatt,Manchester United
Mousa Dembélé,Fulham
Rafik Halliche,Fulham
Carlos Salcido,Fulham
Jonathan Greening,Fulham
Philippe Senderos,Fulham
Rob Milsom,Fulham
