Nom,Position,Nationalité,Âge,Club,Valeur marchande,Chemin image
Yann Bisseck,Yann Bisseck,"Germany, Cameroon",24,Inter Milan,€30.00m,joueurs_images\Yann_Bisseck.jpg
Mats Wieffer,Mats Wieffer,Netherlands,25,Brighton & Hove Albion,€30.00m,joueurs_images\Mats_Wieffer.jpg
Edson Álvarez,Edson Álvarez,Mexico,27,West Ham United,€30.00m,joueurs_images\Edson_Álvarez.jpg
Jadon Sancho,Jadon Sancho,"England, Jamaica",24,Chelsea FC,€30.00m,joueurs_images\Jadon_Sancho.jpg
Axel Disasi,Axel Disasi,"France, DR Congo",26,Aston Villa,€30.00m,joueurs_images\Axel_Disasi.jpg
Richarlison,Richarlison,Brazil,27,Tottenham Hotspur,€30.00m,joueurs_images\Richarlison.jpg
Ferdi Kadıoğlu,Ferdi Kadıoğlu,"Türkiye, Netherlands",25,Brighton & Hove Albion,€30.00m,joueurs_images\Ferdi_Kadıoğlu.jpg
Moise Kean,Moise Kean,"Italy, Cote d'Ivoire",24,ACF Fiorentina,€30.00m,joueurs_images\Moise_Kean.jpg
Hiroki Ito,Hiroki Ito,Japan,25,Bayern Munich,€30.00m,joueurs_images\Hiroki_Ito.jpg
Pervis Estupiñán,Pervis Estupiñán,"Ecuador, Spain",27,Brighton & Hove Albion,€30.00m,joueurs_images\Pervis_Estupiñán.jpg
Artem Dovbyk,Artem Dovbyk,Ukraine,27,AS Roma,€30.00m,joueurs_images\Artem_Dovbyk.jpg
Denis Zakaria,Denis Zakaria,"Switzerland, DR Congo",28,AS Monaco,€30.00m,joueurs_images\Denis_Zakaria.jpg
Gianluca Scamacca,Gianluca Scamacca,Italy,26,Atalanta BC,€30.00m,joueurs_images\Gianluca_Scamacca.jpg
Marc Cucurella,Marc Cucurella,Spain,26,Chelsea FC,€30.00m,joueurs_images\Marc_Cucurella.jpg
Aleksandr Golovin,Aleksandr Golovin,Russia,28,AS Monaco,€30.00m,joueurs_images\Aleksandr_Golovin.jpg
Youri Tielemans,Youri Tielemans,"Belgium, DR Congo",27,Aston Villa,€30.00m,joueurs_images\Youri_Tielemans.jpg
Ederson,Ederson,"Brazil, Portugal",31,Manchester City,€30.00m,joueurs_images\Ederson.jpg
Oleksandr Zinchenko,Oleksandr Zinchenko,Ukraine,28,Arsenal FC,€30.00m,joueurs_images\Oleksandr_Zinchenko.jpg
Jonathan Tah,Jonathan Tah,"Germany, Cote d'Ivoire",29,Bayer 04 Leverkusen,€30.00m,joueurs_images\Jonathan_Tah.jpg
Leandro Trossard,Leandro Trossard,Belgium,30,Arsenal FC,€30.00m,joueurs_images\Leandro_Trossard.jpg
Yankuba Minteh,Yankuba Minteh,The Gambia,20,Brighton & Hove Albion,€28.00m,joueurs_images\Yankuba_Minteh.jpg
