Name,Age,Nationality,Last Club,Avg Points/Game,Profile URL
Vladimir Fedotov,,N/A,N/A,Vladimir Fedotov,https://www.transfermarkt.com/vladimir-fedotov/profil/trainer/12095
Aurelio Andreazzoli,,N/A,N/A,Aurelio Andreazzoli,https://www.transfermarkt.com/aurelio-andreazzoli/profil/trainer/8646
Slavisa Jokanovic,,N/A,N/A,Slavisa Jokanovic,https://www.transfermarkt.com/slavisa-jokanovic/profil/trainer/5627
Francisco Rodríguez,,N/A,N/A,Francisco Rodríguez,https://www.transfermarkt.com/francisco-rodriguez/profil/trainer/28876
Fabio Liverani,,N/A,N/A,Fabio Liverani,https://www.transfermarkt.com/fabio-liverani/profil/trainer/27554
Philippe Montanier,,N/A,N/A,Philippe Montanier,https://www.transfermarkt.com/philippe-montanier/profil/trainer/5065
José Ramón Sandoval,,N/A,N/A,José Ramón Sandoval,https://www.transfermarkt.com/jose-ramon-sandoval/profil/trainer/14387
Timo Schultz,,N/A,N/A,Timo Schultz,https://www.transfermarkt.com/timo-schultz/profil/trainer/20161
Wouter Vrancken,,N/A,N/A,Wouter Vrancken,https://www.transfermarkt.com/wouter-vrancken/profil/trainer/49546
Tim Walter,,N/A,N/A,Tim Walter,https://www.transfermarkt.com/tim-walter/profil/trainer/30352
Rafael Paiva,,N/A,N/A,Rafael Paiva,https://www.transfermarkt.com/rafael-paiva/profil/trainer/128824
Hein Vanhaezebrouck,,N/A,N/A,Hein Vanhaezebrouck,https://www.transfermarkt.com/hein-vanhaezebrouck/profil/trainer/14472
Jairo Swirsky,,N/A,N/A,Jairo Swirsky,https://www.transfermarkt.com/jairo-swirsky/profil/trainer/55203
Nenad Bjelica,,N/A,N/A,Nenad Bjelica,https://www.transfermarkt.com/nenad-bjelica/profil/trainer/5197
Renato Paiva,,N/A,N/A,Renato Paiva,https://www.transfermarkt.com/renato-paiva/profil/trainer/63611
Thomas von Heesen,,N/A,N/A,Thomas von Heesen,https://www.transfermarkt.com/thomas-von-heesen/profil/trainer/1007
Markos Dimos,,N/A,N/A,Markos Dimos,https://www.transfermarkt.com/markos-dimos/profil/trainer/16614
David Wagner,,N/A,N/A,David Wagner,https://www.transfermarkt.com/david-wagner/profil/trainer/6092
Christian Panucci,,N/A,N/A,Christian Panucci,https://www.transfermarkt.com/christian-panucci/profil/trainer/23364
Takis Lemonis,,N/A,N/A,Takis Lemonis,https://www.transfermarkt.com/takis-lemonis/profil/trainer/1278
Sulejman Mema,,N/A,N/A,Sulejman Mema,https://www.transfermarkt.com/sulejman-mema/profil/trainer/15900
Patrick Rahmen,,N/A,N/A,Patrick Rahmen,https://www.transfermarkt.com/patrick-rahmen/profil/trainer/5857
Robert Barborik,,N/A,N/A,Robert Barborik,https://www.transfermarkt.com/robert-barborik/profil/trainer/19440
Jalel Kadri,,N/A,N/A,Jalel Kadri,https://www.transfermarkt.com/jalel-kadri/profil/trainer/22056
Raphael Wicky,,N/A,N/A,Raphael Wicky,https://www.transfermarkt.com/raphael-wicky/profil/trainer/23140
Valérien Ismaël,,N/A,N/A,Valérien Ismaël,https://www.transfermarkt.com/valerien-ismael/profil/trainer/12871
Peter Zeidler,,N/A,N/A,Peter Zeidler,https://www.transfermarkt.com/peter-zeidler/profil/trainer/472
Robert Siboldi,,N/A,N/A,Robert Siboldi,https://www.transfermarkt.com/robert-siboldi/profil/trainer/5977
Younes Ali,,N/A,N/A,Younes Ali,https://www.transfermarkt.com/younes-ali/profil/trainer/84584
Stéphane Bounguendza,,N/A,N/A,Stéphane Bounguendza,https://www.transfermarkt.com/stephane-bounguendza/profil/trainer/33592
Saad Al-Subaie,,N/A,N/A,Saad Al-Subaie,https://www.transfermarkt.com/saad-al-subaie/profil/trainer/120115
Daniel Sousa,,N/A,N/A,Daniel Sousa,https://www.transfermarkt.com/daniel-sousa/profil/trainer/110336
Laurent Huard,,N/A,N/A,Laurent Huard,https://www.transfermarkt.com/laurent-huard/profil/trainer/18942
Olivier Dall'Oglio,,N/A,N/A,Olivier Dall'Oglio,https://www.transfermarkt.com/olivier-dalloglio/profil/trainer/14547
Montasser Louhichi,,N/A,N/A,Montasser Louhichi,https://www.transfermarkt.com/montasser-louhichi/profil/trainer/54604
Sergio Lugo,,N/A,N/A,Sergio Lugo,https://www.transfermarkt.com/sergio-lugo/profil/trainer/17097
Weiwei Chang,,N/A,N/A,Weiwei Chang,https://www.transfermarkt.com/weiwei-chang/profil/trainer/42393
Cristian Fiél,,N/A,N/A,Cristian Fiél,https://www.transfermarkt.com/cristian-fiel/profil/trainer/40217
Kais Yaakoubi,,N/A,N/A,Kais Yaakoubi,https://www.transfermarkt.com/kais-yaakoubi/profil/trainer/17415
Sergio,,N/A,N/A,Sergio,https://www.transfermarkt.com/sergio/profil/trainer/33241
Leandro Romagnoli,,N/A,N/A,Leandro Romagnoli,https://www.transfermarkt.com/leandro-romagnoli/profil/trainer/90325
Germán Voboril,,N/A,N/A,Germán Voboril,https://www.transfermarkt.com/german-voboril/profil/trainer/134141
Sinisa Segovic,,N/A,N/A,Sinisa Segovic,https://www.transfermarkt.com/sinisa-segovic/profil/trainer/96344
Georgi Dermendzhiev,,N/A,N/A,Georgi Dermendzhiev,https://www.transfermarkt.com/georgi-dermendzhiev/profil/trainer/29454
Joaquín Moreno,,N/A,N/A,Joaquín Moreno,https://www.transfermarkt.com/joaquin-moreno/profil/trainer/27249
Ricardo Ferretti,,N/A,N/A,Ricardo Ferretti,https://www.transfermarkt.com/ricardo-ferretti/profil/trainer/5092
Uwe Neuhaus,,N/A,N/A,Uwe Neuhaus,https://www.transfermarkt.com/uwe-neuhaus/profil/trainer/365
Aykut Kocaman,,N/A,N/A,Aykut Kocaman,https://www.transfermarkt.com/aykut-kocaman/profil/trainer/1061
Armando Evangelista,,N/A,N/A,Armando Evangelista,https://www.transfermarkt.com/armando-evangelista/profil/trainer/28508
Lin Ma,,N/A,N/A,Lin Ma,https://www.transfermarkt.com/lin-ma/profil/trainer/22342
Hernán Crespo,,N/A,N/A,Hernán Crespo,https://www.transfermarkt.com/hernan-crespo/profil/trainer/35676
Erol Bulut,,N/A,N/A,Erol Bulut,https://www.transfermarkt.com/erol-bulut/profil/trainer/40285
Jim Curtin,,N/A,N/A,Jim Curtin,https://www.transfermarkt.com/jim-curtin/profil/trainer/26925
Guillermo Abascal,,N/A,N/A,Guillermo Abascal,https://www.transfermarkt.com/guillermo-abascal/profil/trainer/53943
Nick Cushing,,N/A,N/A,Nick Cushing,https://www.transfermarkt.com/nick-cushing/profil/trainer/76130
Leif Gunnar Smerud,,N/A,N/A,Leif Gunnar Smerud,https://www.transfermarkt.com/leif-gunnar-smerud/profil/trainer/21198
Primoz Gliha,,N/A,N/A,Primoz Gliha,https://www.transfermarkt.com/primoz-gliha/profil/trainer/6607
Peter Luccin,,N/A,N/A,Peter Luccin,https://www.transfermarkt.com/peter-luccin/profil/trainer/73202
Gerard López,,N/A,N/A,Gerard López,https://www.transfermarkt.com/gerard-lopez/profil/trainer/41289
Pál Dárdai,,N/A,N/A,Pál Dárdai,https://www.transfermarkt.com/pal-dardai/profil/trainer/23118
Diego Cocca,,N/A,N/A,Diego Cocca,https://www.transfermarkt.com/diego-cocca/profil/trainer/9585
Mirko Slomka,,N/A,N/A,Mirko Slomka,https://www.transfermarkt.com/mirko-slomka/profil/trainer/697
Mutlu Topçu,,N/A,N/A,Mutlu Topçu,https://www.transfermarkt.com/mutlu-topcu/profil/trainer/2618
